Avion;33964;1
Train;1180;1
Avion;1821;1
Train;528;1
Train;0;5
Train;1066;3
Avion;11179;1
Train;2701;1
Train;221;1
Avion;2191;1
Train;1371;2
Train;849;1
Avion;2195;1
Avion;16207;1
Avion;7599;1
Avion;2302;1
Train;401;2
Train;1414;1
Train;1401;1
Train;786;2
Train;615;2
Train;997;1
Avion;1889;1
Avion;125;2
Avion;4317;1
Avion;1288;1
Avion;1338;1
Avion;849;2
Train;567;1
Avion;11191;2
Train;392;2
Train;204;2
Train;483;2
Train;387;3
Train;110;2
Train;110;8
Avion;908;2
Train;393;5
Avion;1834;5
Train;54;1
Train;695;6
Avion;1033;3
Train;177;2
Train;276;2
Train;322;4
Avion;5867;2
Avion;282;5
Avion;609;5
Avion;5871;3
Train;108;2
Train;685;3
Avion;668;2
Avion;46;4
Train;397;4
